排名,股票代码,股票名称,最新价格,最大回撤,当日跌幅,RSI(14),KDJ(J),行动提示,退出提示,MA50/MA250,MA50/MA250趋势
1,600579,中化装备,7.24,0.0984,-0.0176,26.56,-1.0,💥【顶级共振】RSI共振(26.6/17.0) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.957,平稳
2,000957,中通客车,11.29,0.0982,-0.0309,26.85,11.87,💥【顶级共振】RSI共振(26.9/10.9) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.014,平稳
3,605050,福然德,11.91,0.0964,-0.0206,25.56,10.15,💥【顶级共振】RSI共振(25.6/14.3) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.911,平稳
4,600054,黄山旅游,11.1,0.0954,-0.0229,20.62,4.0,💥【顶级共振】RSI共振(20.6/10.2) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.051,平稳
5,605368,蓝天燃气,7.54,0.0938,-0.0026,22.91,27.16,💥【顶级共振】RSI共振(22.9/14.6),持有,0.903,平稳
6,600241,时代万恒,8.95,0.0923,-0.0056,25.51,0.36,💥【顶级共振】RSI共振(25.5/10.2) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.09,平稳
7,000498,山东路桥,5.31,0.0923,-0.0075,18.88,7.67,💥【顶级共振】RSI共振(18.9/6.4) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.972,平稳
8,002204,大连重工,6.28,0.0912,-0.0048,22.37,-4.47,💥【顶级共振】RSI共振(22.4/15.7) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.014,平稳
9,002215,诺 普 信,9.95,0.0897,-0.0178,28.11,-8.18,💥【顶级共振】RSI共振(28.1/12.1) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.933,平稳
10,600444,国机通用,16.58,0.0865,0.0,27.53,9.99,💥【顶级共振】RSI共振(27.5/14.3) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.989,平稳
11,002790,瑞尔特,7.13,0.0847,-0.0083,28.83,18.99,💥【顶级共振】RSI共振(28.8/16.6) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.972,平稳
12,603817,海峡环保,6.9,0.0827,0.0029,28.94,-9.83,💥【顶级共振】RSI共振(28.9/15.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.108,平稳
13,603209,兴通股份,14.06,0.0816,-0.0161,25.32,2.92,💥【顶级共振】RSI共振(25.3/14.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.984,平稳
14,000590,启迪药业,10.33,0.0744,-0.0124,18.85,-5.61,💥【顶级共振】RSI共振(18.9/6.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.004,平稳
15,002337,赛象科技,5.86,0.0728,-0.0168,28.58,-6.2,💥【顶级共振】RSI共振(28.6/11.9) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.022,平稳
16,002404,嘉欣丝绸,6.7,0.072,-0.0346,25.84,-1.67,💥【顶级共振】RSI共振(25.8/8.5) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.03,平稳
17,600128,苏豪弘业,9.94,0.0677,0.002,21.44,-4.98,💥【顶级共振】RSI共振(21.4/14.7) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.995,平稳
18,600127,金健米业,6.51,0.0873,0.0046,26.45,15.78,🌟【加强级】RSI极值(26.4) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.019,平稳
