排名,股票代码,股票名称,最新价格,最大回撤,当日跌幅,RSI(14),KDJ(J),行动提示,退出提示,MA50/MA250,MA50/MA250趋势
1,600054,黄山旅游,10.99,0.097,-0.0117,24.47,4.34,💥【顶级共振】RSI+KDJ极值(24.5/4.3) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.042,平稳
2,600419,天润乳业,8.8,0.0969,0.0046,23.87,0.51,💥【顶级共振】RSI共振(23.9/17.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.938,平稳
3,600858,银座股份,5.29,0.0948,0.0076,26.53,2.39,💥【顶级共振】RSI+KDJ极值(26.5/2.4) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.965,平稳
4,600706,曲江文旅,8.64,0.0943,-0.0023,19.46,0.95,💥【顶级共振】RSI共振(19.5/4.7) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.92,平稳
5,600127,金健米业,6.29,0.0941,0.0048,20.42,11.02,💥【顶级共振】RSI共振(20.4/17.4) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.01,平稳
6,000498,山东路桥,5.27,0.0929,-0.0038,23.2,11.77,💥【顶级共振】RSI共振(23.2/17.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.963,平稳
7,000686,东北证券,7.99,0.091,-0.0148,25.84,-9.76,💥【顶级共振】RSI共振(25.8/14.9) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.979,平稳
8,603909,建发合诚,11.3,0.0894,0.0,24.42,7.33,💥【顶级共振】RSI共振(24.4/7.0) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.065,平稳
9,601696,中银证券,11.71,0.078,-0.0225,25.0,-6.21,💥【顶级共振】RSI共振(25.0/12.7) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.938,平稳
10,002275,桂林三金,13.54,0.0777,-0.0044,26.53,-11.93,💥【顶级共振】RSI共振(26.5/15.1) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.971,平稳
11,600597,光明乳业,6.99,0.063,-0.0127,19.74,-5.46,💥【顶级共振】RSI共振(19.7/12.1) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.914,平稳
12,002732,燕塘乳业,15.24,0.0813,0.0059,25.39,15.3,🌟【加强级】RSI极值(25.4) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.958,平稳
