代码,信号日期,追踪日期,信号后第几天,当日收盘,当日涨跌幅%,累计收益率%,信号日价格,触发条件,名称
000001,2025-12-02,2025-12-03,1,11.55,-0.77,-0.86,11.65,趋势: 多头排列 (5>20>60),平安银行
000001,2025-12-02,2025-12-04,2,11.49,-0.52,-1.37,11.65,趋势: 多头排列 (5>20>60),平安银行
000001,2025-12-02,2025-12-05,3,11.53,0.35,-1.03,11.65,趋势: 多头排列 (5>20>60),平安银行
000001,2025-12-02,2025-12-08,4,11.52,-0.09,-1.12,11.65,趋势: 多头排列 (5>20>60),平安银行
000001,2025-12-02,2025-12-09,5,11.43,-0.78,-1.89,11.65,趋势: 多头排列 (5>20>60),平安银行
000001,2025-12-02,2025-12-10,6,11.33,-0.87,-2.75,11.65,趋势: 多头排列 (5>20>60),平安银行
000001,2025-12-02,2025-12-11,7,11.37,0.35,-2.4,11.65,趋势: 多头排列 (5>20>60),平安银行
000001,2025-12-02,2025-12-12,8,11.35,-0.18,-2.58,11.65,趋势: 多头排列 (5>20>60),平安银行
000001,2025-12-02,2025-12-15,9,11.51,1.41,-1.2,11.65,趋势: 多头排列 (5>20>60),平安银行
000001,2025-12-02,2025-12-16,10,11.48,-0.26,-1.46,11.65,趋势: 多头排列 (5>20>60),平安银行
000001,2025-12-02,2025-12-17,11,11.53,0.44,-1.03,11.65,趋势: 多头排列 (5>20>60),平安银行
000001,2025-12-02,2025-12-18,12,11.64,0.95,-0.09,11.65,趋势: 多头排列 (5>20>60),平安银行
000001,2025-12-02,2025-12-19,13,11.62,-0.17,-0.26,11.65,趋势: 多头排列 (5>20>60),平安银行
000001,2025-12-02,2025-12-22,14,11.52,-0.86,-1.12,11.65,趋势: 多头排列 (5>20>60),平安银行
000001,2025-12-04,2025-12-05,1,11.53,0.35,0.35,11.49,"形态: 两连阴 (-0.34%, -0.77%)",平安银行
000001,2025-12-04,2025-12-08,2,11.52,-0.09,0.26,11.49,"形态: 两连阴 (-0.34%, -0.77%)",平安银行
000001,2025-12-04,2025-12-09,3,11.43,-0.78,-0.52,11.49,"形态: 两连阴 (-0.34%, -0.77%)",平安银行
000001,2025-12-04,2025-12-10,4,11.33,-0.87,-1.39,11.49,"形态: 两连阴 (-0.34%, -0.77%)",平安银行
000001,2025-12-04,2025-12-11,5,11.37,0.35,-1.04,11.49,"形态: 两连阴 (-0.34%, -0.77%)",平安银行
000001,2025-12-04,2025-12-12,6,11.35,-0.18,-1.22,11.49,"形态: 两连阴 (-0.34%, -0.77%)",平安银行
000001,2025-12-04,2025-12-15,7,11.51,1.41,0.17,11.49,"形态: 两连阴 (-0.34%, -0.77%)",平安银行
000001,2025-12-04,2025-12-16,8,11.48,-0.26,-0.09,11.49,"形态: 两连阴 (-0.34%, -0.77%)",平安银行
000001,2025-12-04,2025-12-17,9,11.53,0.44,0.35,11.49,"形态: 两连阴 (-0.34%, -0.77%)",平安银行
000001,2025-12-04,2025-12-18,10,11.64,0.95,1.31,11.49,"形态: 两连阴 (-0.34%, -0.77%)",平安银行
000001,2025-12-04,2025-12-19,11,11.62,-0.17,1.13,11.49,"形态: 两连阴 (-0.34%, -0.77%)",平安银行
000001,2025-12-04,2025-12-22,12,11.52,-0.86,0.26,11.49,"形态: 两连阴 (-0.34%, -0.77%)",平安银行
000001,2025-12-10,2025-12-11,1,11.37,0.35,0.35,11.33,"形态: 两连阴 (-0.09%, -0.78%)",平安银行
000001,2025-12-10,2025-12-12,2,11.35,-0.18,0.18,11.33,"形态: 两连阴 (-0.09%, -0.78%)",平安银行
000001,2025-12-10,2025-12-15,3,11.51,1.41,1.59,11.33,"形态: 两连阴 (-0.09%, -0.78%)",平安银行
000001,2025-12-10,2025-12-16,4,11.48,-0.26,1.32,11.33,"形态: 两连阴 (-0.09%, -0.78%)",平安银行
000001,2025-12-10,2025-12-17,5,11.53,0.44,1.77,11.33,"形态: 两连阴 (-0.09%, -0.78%)",平安银行
000001,2025-12-10,2025-12-18,6,11.64,0.95,2.74,11.33,"形态: 两连阴 (-0.09%, -0.78%)",平安银行
000001,2025-12-10,2025-12-19,7,11.62,-0.17,2.56,11.33,"形态: 两连阴 (-0.09%, -0.78%)",平安银行
000001,2025-12-10,2025-12-22,8,11.52,-0.86,1.68,11.33,"形态: 两连阴 (-0.09%, -0.78%)",平安银行
000001,2025-12-11,2025-12-12,1,11.35,-0.18,-0.18,11.37,"形态: 两连阴 (-0.78%, -0.87%)",平安银行
000001,2025-12-11,2025-12-15,2,11.51,1.41,1.23,11.37,"形态: 两连阴 (-0.78%, -0.87%)",平安银行
000001,2025-12-11,2025-12-16,3,11.48,-0.26,0.97,11.37,"形态: 两连阴 (-0.78%, -0.87%)",平安银行
000001,2025-12-11,2025-12-17,4,11.53,0.44,1.41,11.37,"形态: 两连阴 (-0.78%, -0.87%)",平安银行
000001,2025-12-11,2025-12-18,5,11.64,0.95,2.37,11.37,"形态: 两连阴 (-0.78%, -0.87%)",平安银行
000001,2025-12-11,2025-12-19,6,11.62,-0.17,2.2,11.37,"形态: 两连阴 (-0.78%, -0.87%)",平安银行
000001,2025-12-11,2025-12-22,7,11.52,-0.86,1.32,11.37,"形态: 两连阴 (-0.78%, -0.87%)",平安银行
000001,2025-12-15,2025-12-16,1,11.48,-0.26,-0.26,11.51,动量: 突破转强 (阳线上穿5/10),平安银行
000001,2025-12-15,2025-12-17,2,11.53,0.44,0.17,11.51,动量: 突破转强 (阳线上穿5/10),平安银行
000001,2025-12-15,2025-12-18,3,11.64,0.95,1.13,11.51,动量: 突破转强 (阳线上穿5/10),平安银行
