代码,名称,最新日期,现价,30日均换手,今日量比,RSI6,K值,距60日线空间
603337,杰克科技,2025-11-28,38.72,0.48%,0.81,52.8,42.1,14.5%
605333,沪光股份,2025-11-28,29.30,0.82%,1.55,50.2,29.9,12.7%
603680,今创集团,2025-11-28,10.58,0.58%,0.70,48.3,37.5,11.9%
603501,豪威集团,2025-11-28,119.00,1.09%,0.59,53.6,31.4,11.5%
600498,烽火通信,2025-11-28,22.86,2.53%,0.72,54.5,47.6,10.8%
000032,深桑达Ａ,2025-11-27,19.57,1.49%,0.91,55.2,52.6,9.9%
601636,旗滨集团,2025-11-28,6.10,1.49%,1.86,45.9,27.0,9.9%
603341,龙旗科技,2025-11-28,40.29,2.50%,0.72,55.6,44.1,9.4%
603701,德宏股份,2025-11-28,17.55,0.87%,0.56,58.0,33.9,9.2%
603256,宏和科技,2025-11-28,32.13,2.45%,0.77,61.2,53.3,8.3%
