Code,Name,Latest_Date,Latest_Close,Matched_Conditions,MA5,MA20,MA60,Volume_Ratio
600141,兴发集团,2025-11-28,32.5,"价格强势 (高于MA5,MA20,MA60)",31.18,31.99,29.13,1.01X
603823,百合花,2025-11-28,16.96,"价格强势 (高于MA5,MA20,MA60)",16.31,16.61,15.44,0.98X
603176,汇通集团,2025-11-28,6.84,"价格强势 (高于MA5,MA20,MA60)",6.35,6.14,6.19,1.16X
603901,永创智能,2025-11-28,13.57,"价格强势 (高于MA5,MA20,MA60) | 放量上涨 (1.58X)",12.54,12.62,11.76,1.58X
603036,如通股份,2025-11-28,22.95,"价格强势 (高于MA5,MA20,MA60) | 放量上涨 (1.88X)",20.83,20.62,21.44,1.88X
605180,华生科技,2025-11-28,15.74,多头排列 (MA5>MA20>MA60),15.91,15.79,15.64,0.34X
600665,天地源,2025-11-28,3.69,"价格强势 (高于MA5,MA20,MA60)",3.60,3.64,3.48,0.84X
605255,天普股份,2025-11-27,147.0,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | 放量上涨 (1.67X)",127.91,104.97,73.07,1.67X
605086,龙高股份,2025-11-28,33.99,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | 放量上涨 (1.96X)",31.54,28.40,26.43,1.96X
605005,合兴股份,2025-11-28,19.1,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",19.04,18.95,18.81,0.83X
605100,华丰股份,2025-11-28,44.34,多头排列 (MA5>MA20>MA60),44.86,42.25,32.47,0.44X
600651,飞乐音响,2025-11-28,8.38,"价格强势 (高于MA5,MA20,MA60)",8.18,8.08,8.25,0.86X
000020,深华发Ａ,2025-11-27,17.06,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",16.10,15.51,14.70,1.37X
603668,天马科技,2025-11-28,15.1,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",14.85,14.82,14.81,0.52X
600734,实达集团,2025-11-28,5.08,多头排列 (MA5>MA20>MA60) | 放量上涨 (2.13X),5.49,4.32,3.91,2.13X
600678,四川金顶,2025-11-28,11.1,"价格强势 (高于MA5,MA20,MA60)",10.33,10.45,9.89,0.86X
603636,南威软件,2025-11-28,14.43,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",13.90,12.82,12.31,0.60X
605089,味知香,2025-11-28,27.79,"价格强势 (高于MA5,MA20,MA60)",26.74,26.79,26.87,1.10X
603803,瑞斯康达,2025-11-28,10.37,多头排列 (MA5>MA20>MA60),10.99,10.10,9.29,0.37X
601118,海南橡胶,2025-11-28,6.09,"价格强势 (高于MA5,MA20,MA60) | 放量上涨 (1.70X)",5.78,5.97,5.58,1.70X
600690,海尔智家,2025-11-28,27.36,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",27.24,26.87,26.01,0.15X
600829,人民同泰,2025-11-28,12.67,"价格强势 (高于MA5,MA20,MA60)",12.42,12.52,9.64,0.97X
605598,上海港湾,2025-11-28,48.69,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",47.59,40.61,31.73,0.82X
600795,国电电力,2025-11-28,5.63,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",5.43,5.40,5.14,1.20X
603286,日盈电子,2025-11-28,49.93,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",46.79,43.50,41.06,1.13X
600426,华鲁恒升,2025-11-28,28.27,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",27.66,27.47,26.25,1.06X
603016,新宏泰,2025-11-28,26.62,放量上涨 (2.22X),25.31,25.99,26.70,2.22X
600776,东方通信,2025-11-28,13.73,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",13.37,13.17,12.87,1.08X
000063,中兴通讯,2025-11-27,42.3,放量上涨 (1.75X),39.97,40.70,44.48,1.75X
600984,建设机械,2025-11-28,4.37,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",4.28,4.13,3.89,1.22X
603778,国晟科技,2025-11-28,11.59,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",9.74,7.48,5.12,1.00X
600730,中国高科,2025-11-28,12.61,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",11.18,10.21,9.94,1.37X
605389,长龄液压,2025-11-28,72.4,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | 放量上涨 (1.63X)",67.95,65.42,59.66,1.63X
