Code,Name,Latest_Date,Latest_Close,Daily_Change_Pct,Matched_Conditions,MA20,MA60,Volume_Ratio
002858,力盛体育,2026-04-24,15.53,-0.13%,趋势: 高于MA20,15.45,15.74,0.95X
600232,金鹰股份,2026-04-24,8.37,-2.33%,"形态: 两连阴 (-2.38%, -0.58%)",8.39,8.45,0.50X
600138,中青旅,2026-04-24,9.12,-0.22%,"形态: 两连阴 (-0.76%, -0.44%)",9.23,9.53,0.84X
000036,华联控股,2026-04-24,5.18,2.57%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),4.98,5.32,1.38X
002811,郑中设计,2026-04-24,13.25,0.84%,"形态: 两连阴 (-1.39%, -2.45%)",13.51,14.50,0.95X
603518,锦泓集团,2026-04-24,9.03,-0.33%,趋势: 高于MA20,8.95,9.32,1.25X
002345,潮宏基,2026-04-24,10.86,0.00%,"形态: 两连阴 (-1.96%, -1.45%) | 趋势: 高于MA20",10.69,11.52,0.66X
603278,大业股份,2026-04-24,12.45,-5.68%,形态: 10日内有涨停 | 趋势: 高于MA20,11.40,11.82,0.66X
600601,方正科技,2026-04-24,11.52,-1.29%,形态: 10日内有涨停 | 趋势: 高于MA20,10.53,10.81,0.67X
600970,中材国际,2026-04-24,10.12,-0.10%,"形态: 两连阴 (-2.29%, -0.88%)",10.47,10.70,0.67X
002301,齐心集团,2026-04-24,7.17,-3.76%,量能: 放量 (2.52X) | 形态: 10日内有涨停 | 趋势: 高于MA20,6.91,7.34,2.52X
002806,华锋股份,2026-04-24,14.19,0.35%,趋势: 高于MA20,13.78,14.49,0.72X
603178,圣龙股份,2026-04-24,17.17,-10.01%,形态: 10日内有涨停 | 趋势: 高于MA20,16.56,16.82,0.86X
000886,海南高速,2026-04-24,5.63,0.54%,量能: 放量 (1.70X),5.69,6.11,1.70X
600333,长春燃气,2026-04-24,5.56,3.93%,量能: 放量 (2.07X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),5.37,5.66,2.07X
600857,宁波中百,2026-04-24,12.03,1.01%,"形态: 两连阴 (-1.32%, -0.67%) | 趋势: 高于MA20",11.96,12.73,0.79X
