Code,Name,Latest_Close,Latest_Date
605255,天普股份,147.0,2025-11-27
605086,龙高股份,33.99,2025-11-28
000020,深华发Ａ,17.06,2025-11-27
600984,建设机械,4.37,2025-11-28
600730,中国高科,12.61,2025-11-28
605389,长龄液压,72.4,2025-11-28
603209,兴通股份,16.13,2025-11-28
600988,赤峰黄金,32.0,2025-11-28
600589,大位科技,7.87,2025-11-28
600828,茂业商业,6.15,2025-11-28
603001,奥康国际,10.0,2025-11-28
603931,格林达,34.22,2025-11-28
603999,读者传媒,7.95,2025-11-28
600229,城市传媒,7.04,2025-11-28
603155,新亚强,19.61,2025-11-28
000070,特发信息,14.44,2025-11-27
601825,沪农商行,9.42,2025-11-28
601100,恒立液压,101.3,2025-11-28
601113,华鼎股份,4.62,2025-11-28
601238,广汽集团,9.25,2025-11-28
000078,海王生物,3.09,2025-11-27
600151,航天机电,9.3,2025-11-28
600882,妙可蓝多,27.34,2025-11-28
600343,航天动力,23.7,2025-11-28
600184,光电股份,18.39,2025-11-28
603929,亚翔集成,60.96,2025-11-28
