代码,信号日期,信号价格,当前价格,当前收益%,最高收益%,是否获利,持有天数,触发条件
002858,2026-04-30,17.1,16.79,-1.81,-1.81,0,1,量能: 放量 (1.60X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002519,2026-04-30,8.13,8.29,1.97,1.97,1,1,趋势: 高于MA20
600232,2026-04-30,8.58,8.65,0.82,0.82,1,1,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20
000036,2026-04-30,5.59,5.59,0.0,0.0,0,1,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002811,2026-04-30,13.88,14.0,0.86,0.86,1,1,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
603518,2026-04-30,9.95,9.89,-0.6,-0.6,0,1,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002345,2026-04-30,10.57,10.46,-1.04,-1.04,0,1,量能: 放量 (2.22X)
603278,2026-04-30,11.2,12.32,10.0,10.0,1,1,形态: 10日内有涨停
600601,2026-04-30,11.67,11.86,1.63,1.63,1,1,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20
002301,2026-04-30,6.9,7.12,3.19,3.19,1,1,形态: 10日内有涨停
002806,2026-04-30,14.08,14.31,1.63,1.63,1,1,趋势: 高于MA20
603178,2026-04-30,19.46,19.5,0.21,0.21,1,1,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
000886,2026-04-30,5.53,5.46,-1.27,-1.27,0,1,"形态: 两连阴 (-1.24%, -3.58%)"
600333,2026-04-30,5.77,5.77,0.0,0.0,0,1,趋势: 高于MA20
600857,2026-04-30,12.71,12.65,-0.47,-0.47,0,1,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
605222,2026-04-30,36.37,34.78,-4.37,-4.37,0,1,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600960,2026-04-30,4.97,4.98,0.2,0.2,1,1,量能: 放量 (1.54X)
002512,2026-04-30,4.31,4.41,2.32,2.32,1,1,量能: 放量 (1.56X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
605069,2026-04-30,14.19,14.32,0.92,0.92,1,1,趋势: 高于MA20
002401,2026-04-30,14.19,14.25,0.42,0.42,1,1,量能: 放量 (1.62X)
002010,2026-04-30,5.83,5.83,0.0,0.0,0,1,趋势: 高于MA20
603588,2026-04-30,14.58,14.79,1.44,1.44,1,1,"形态: 两连阴 (-0.47%, -0.54%)"
603272,2026-04-30,26.8,28.14,5.0,5.0,1,1,形态: 10日内有涨停 | 动量: 突破转强 (阳线上穿5/10)
000417,2026-04-30,6.69,6.76,1.05,1.05,1,1,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
603776,2026-04-30,19.83,19.86,0.15,0.15,1,1,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20
002342,2026-04-30,19.81,20.11,1.51,1.51,1,1,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002038,2026-04-30,6.49,6.47,-0.31,-0.31,0,1,"形态: 两连阴 (-0.58%, -1.17%)"
002037,2026-04-30,8.55,8.54,-0.12,-0.12,0,1,趋势: 高于MA20
603505,2026-04-30,18.34,18.86,2.84,2.84,1,1,量能: 放量 (1.65X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600755,2026-04-30,6.19,6.24,0.81,0.81,1,1,动量: 突破转强 (阳线上穿5/10)
603958,2026-04-30,24.26,23.37,-3.67,-3.67,0,1,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20
603085,2026-04-30,12.28,12.67,3.18,3.18,1,1,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600235,2026-04-30,6.95,6.89,-0.86,-0.86,0,1,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002043,2026-04-30,14.83,15.49,4.45,4.45,1,1,趋势: 高于MA20
600748,2026-04-30,5.3,5.05,-4.72,-4.72,0,1,趋势: 多头排列 (5>20>60) | 量能: 放量 (1.52X) | 趋势: 高于MA20
601566,2026-04-30,10.86,10.85,-0.09,-0.09,0,1,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
603515,2026-04-30,20.26,21.56,6.42,6.42,1,1,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20
000586,2026-04-30,17.71,18.28,3.22,3.22,1,1,"形态: 10日内有涨停 | 形态: 两连阴 (-4.20%, -0.11%)"
002297,2026-04-30,24.5,24.01,-2.0,-2.0,0,1,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002585,2026-04-30,7.75,8.16,5.29,5.29,1,1,趋势: 高于MA20
601399,2026-04-30,4.29,4.3,0.23,0.23,1,1,动量: 突破转强 (阳线上穿5/10)
002164,2026-04-30,12.56,12.7,1.11,1.11,1,1,"形态: 两连阴 (-1.61%, -3.11%)"
000565,2026-04-30,7.87,8.01,1.78,1.78,1,1,形态: 10日内有涨停 | 趋势: 高于MA20
002096,2026-04-30,10.86,10.87,0.09,0.09,1,1,量能: 放量 (2.12X)
000505,2026-04-30,6.61,6.69,1.21,1.21,1,1,动量: 突破转强 (阳线上穿5/10)
600724,2026-04-30,6.97,7.09,1.72,1.72,1,1,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20
603017,2026-04-30,15.4,15.74,2.21,2.21,1,1,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002617,2026-04-30,7.69,8.0,4.03,4.03,1,1,趋势: 高于MA20
600419,2026-04-30,9.62,9.7,0.83,0.83,1,1,趋势: 高于MA20
600258,2026-04-30,15.65,14.97,-4.35,-4.35,0,1,趋势: 高于MA20
002998,2026-04-30,9.52,10.08,5.88,5.88,1,1,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002205,2026-04-30,13.38,13.43,0.37,0.37,1,1,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600618,2026-04-30,12.87,12.76,-0.85,-0.85,0,1,趋势: 高于MA20
600629,2026-04-30,20.4,21.31,4.46,4.46,1,1,"形态: 两连阴 (-1.28%, -0.40%)"
000863,2026-04-30,4.85,5.34,10.1,10.1,1,1,动量: 突破转强 (阳线上穿5/10)
603730,2026-04-30,10.94,10.93,-0.09,-0.09,0,1,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600846,2026-04-30,12.76,12.79,0.24,0.24,1,1,趋势: 高于MA20
600198,2026-04-30,8.4,8.56,1.9,1.9,1,1,趋势: 高于MA20
002044,2026-04-30,5.43,5.97,9.94,9.94,1,1,量能: 放量 (2.81X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
605066,2026-04-30,8.06,8.01,-0.62,-0.62,0,1,量能: 放量 (2.28X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600769,2026-04-30,16.0,16.57,3.56,3.56,1,1,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002921,2026-04-30,29.74,30.46,2.42,2.42,1,1,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
603871,2026-04-30,12.74,12.71,-0.24,-0.24,0,1,"形态: 两连阴 (-0.59%, -0.60%)"
000600,2026-04-30,9.52,9.65,1.37,1.37,1,1,趋势: 高于MA20
