触发条件,出现次数,平均收益%,历史最高涨幅平均%,胜率
量能: 放量 (2.34X),1,285.02,294.09,100.0%
"形态: 两连阴 (-1.70%, -0.46%)",1,259.45,279.38,100.0%
"形态: 两连阴 (-4.46%, -0.18%)",1,209.95,210.31,100.0%
"形态: 两连阴 (-3.24%, -0.20%)",1,204.93,213.61,100.0%
量能: 放量 (2.13X),1,166.78,180.68,100.0%
量能: 放量 (2.40X),1,133.58,145.78,100.0%
"形态: 两连阴 (-5.36%, -1.82%)",1,132.9,133.01,100.0%
量能: 放量 (1.66X) | 形态: 10日内有涨停,1,130.53,131.23,100.0%
"形态: 两连阴 (-1.66%, -1.41%)",1,87.24,98.54,100.0%
"量能: 放量 (1.78X) | 形态: 两连阴 (-1.12%, -0.39%)",1,78.02,91.09,100.0%
"形态: 两连阴 (-1.44%, -1.26%)",1,76.38,84.91,100.0%
量能: 放量 (2.86X),1,63.72,75.66,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-4.15%, -2.17%)",1,63.59,63.59,100.0%
量能: 放量 (1.55X),2,60.71,60.92,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-3.91%, -4.85%) | 趋势: 高于MA20",1,60.53,60.53,100.0%
"形态: 两连阴 (-3.24%, -1.48%)",1,50.4,56.38,100.0%
"形态: 两连阴 (-1.07%, -2.16%)",1,49.63,49.63,100.0%
"形态: 两连阴 (-1.22%, -0.80%)",1,47.24,47.24,100.0%
"形态: 两连阴 (-0.06%, -0.16%)",1,43.94,45.86,100.0%
"形态: 两连阴 (-1.89%, -1.64%)",1,43.16,43.16,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-4.51%, -2.31%)",1,42.57,42.57,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-10.00%, -4.61%)",1,42.16,42.16,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.64X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,40.63,40.63,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-8.68%, -0.95%)",1,38.94,38.94,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-9.31%, -9.99%) | 趋势: 高于MA20",1,38.87,54.3,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-9.99%, -3.33%)",1,37.6,37.6,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-3.17%, -8.98%) | 趋势: 高于MA20",1,37.53,40.36,100.0%
"形态: 两连阴 (-0.13%, -2.14%)",1,37.47,37.47,100.0%
量能: 放量 (1.71X) | 形态: 10日内有涨停,1,37.43,37.43,100.0%
"形态: 两连阴 (-0.98%, -1.90%)",1,37.12,37.15,100.0%
量能: 放量 (2.19X),1,35.74,40.22,100.0%
"形态: 两连阴 (-6.13%, -0.89%)",1,35.57,35.57,100.0%
